,Datetime,Tweet_id,Content
0,2021-02-05 18:08:38+00:00,1357753012408655875," in raising awareness about  in your community this . You can help protect your heart with self-care, like moving more, eating healthier, managing stress, + getting quality sleep. Learn more from  NHLBI:   "
1,2021-02-28 17:09:00+00:00,1366072924449333251,"As a reminder, free  testing is still available. If you have been exposed or are experiencing symptoms, please self-separate from the household and get tested 🧪

📌 Sign Up:  "
2,2021-02-18 22:23:32+00:00,1362528200245436419,"Rooms may not be available even if you meet the criteria. If self-separating at home, follow these tips:
 
➡️Use a separate bedroom + bathroom 
➡️If sharing a space, ensure it has good air flow
➡️Avoid sharing personal items
➡️Wear a mask
➡️Frequently clean + disinfect
(5/5)"
3,2021-02-18 22:23:31+00:00,1362528198253187072,"If you are experiencing symptoms of COVID-19, continue to self-isolate for at least 10 days since symptom onset + for at least 1 day following the resolution of fever and improvement of other symptoms.

👉 Check for updates here: 
(3/5)"
4,2021-05-29 23:55:10+00:00,1398790050306007043,"We honestly were not aware so many people used Memorial Day as a day of self love. 🥰🥰🥰

Make sure you use lube if you’re as dry as your timeline is!  "
5,2021-05-29 13:20:13+00:00,1398630258111287300,"Self pleasure is the top most safest way to engage in sexual activity during a pandemic.

Thanks for encouraging everyone to be safe, David.  "
6,2021-05-14 20:00:01+00:00,1393295052315652098,"Uncertainty is hard to handle. Sometimes things are beyond our control. Make time for self-care, work to reduce self-criticism and guilt.  "
7,2021-05-12 16:45:00+00:00,1392521199402377219,"During , the recommendations in our Playbook for Stress Relief are incredibly relevant. 

Check it out, and remember, self-care is NOT selfish.  

 "
8,2021-01-27 01:42:45+00:00,1354243416733847553,"CA has been working to strengthen government-to-government relationships with CA tribes with our annual Tribal Nations Conference.

' commitment to tribal nations will continue to support tribal sovereignty ; self-determination. 
"
9,2021-05-27 23:45:02+00:00,1398062721044729858,"During , check out the recommendations in  OSG's Playbook for Stress Relief: 

Remember, self-care is NOT selfish!  "
10,2021-05-13 22:50:26+00:00,1392975551690776578,"During , check out the recommendations in  OSG's Playbook for Stress Relief: 

And remember, self-care is NOT selfish!  "
11,2021-05-23 16:00:08+00:00,1396496174706827266,Self-care isn’t selfish. Sometimes saying ”no” is self-care. . 
12,2021-02-14 21:00:31+00:00,1361057759031136258,"Self-care isn’t selfish; it’s necessary if you are a caregiver. Caregivers need to take care of themselves ; learn healthy ways to deal with ; respond to stressful situations, like an . Learn more:    "
13,2021-03-24 13:16:02+00:00,1374711607104843790,Curious about self-reported  or  symptoms around you?  helps tracks illnesses in your area. Access a map that tracks anonymously reported symptoms ; add to the secure data by reporting how you’re feeling:  
14,2021-03-18 13:58:02+00:00,1372547847661494274,Curious about self-reported  or  symptoms around you?  helps tracks illnesses in your area. Access a map that tracks anonymously reported symptoms ; add to the secure data by reporting how you’re feeling:  
15,2021-03-04 14:22:34+00:00,1367480593194360834,Curious about self-reported  or  symptoms around you?  helps tracks illnesses in your area. Access a map that tracks anonymously reported symptoms ; add to the secure data by reporting how you’re feeling:  
16,2021-04-02 16:57:10+00:00,1378028747681595396,"People fully vaccinated against  can travel within the United States and do not need COVID-19 testing or post-travel self-quarantine as long as they continue to take precautions while traveling: , avoid crowds, and wash hands frequently.  "
17,2021-02-19 17:07:20+00:00,1362811015637958657,Curious about self-reported  or  symptoms around you?  helps track illnesses in your area. Access a map that tracks anonymously reported symptoms ; add to the secure data by reporting how you’re feeling:  
18,2021-05-28 20:44:05+00:00,1398379571028926464,"This pattern of self-doubt that can lead to anxiety, stress and missed opportunities. Recognizing it and having the tools to get past it can help you get out of your own way. "
19,2021-05-27 14:29:14+00:00,1397922851479425032,"Women tend to think of self-care as pampering, and to put children, spouse, parents, friends and even pets first. How learning to treat yourself with love, respect, kindness and discipline can transform your life.   "
20,2021-05-23 16:51:03+00:00,1396508986980147214,Learn six ways to build a healthy self-image + why it matters: 
